asn_destino,asn_upstream,frequencia
205013,16509,72
7539,6939,71
63897,4780,71
18411,55355,70
131663,2914,70
63896,140096,70
203405,20473,70
141742,21859,69
131638,63900,69
142046,6939,69
216198,6939,68
212279,20473,68
4845,17408,67
18182,24482,65
131645,24482,65
131593,4780,64
9264,1299,63
56179,3462,62
131273,4780,62
131683,4780,62
7536,17676,60
18044,6939,60
131149,4780,58
18411,4637,58
216123,6939,58
131630,204844,56
142046,32595,56
208223,14447,56
45250,6939,55
7483,1299,55
9416,24482,54
205329,134823,54
152626,18041,54
18419,24482,53
18041,174,52
134094,6939,52
3462,213241,52
17709,6939,51
3462,9002,51
9264,6939,51
9264,9505,51
9416,55720,50
131144,2687,50
152626,6939,50
150766,32595,50
3462,3216,49
18424,2914,49
17716,9505,48
18043,6939,48
150770,6939,48
131599,17408,48
132157,17408,48
152628,13335,48
3462,6453,47
131659,21859,47
131589,2914,47
18044,134823,47
17420,9924,46
131634,137409,46
131634,24482,46
131634,55720,46
38853,17408,46
150137,17408,46
38841,17408,46
205329,34927,46
150755,18041,45
9920,17408,45
18046,4780,45
203843,6939,45
18046,21859,45
18426,7539,44
131637,38843,44
152615,204844,44
152623,17408,44
46850,399870,44
17415,6939,44
17709,12389,43
9505,38001,43
9505,17639,43
9505,24482,43
18185,4780,43
63901,20473,43
63899,18046,43
150769,20473,43
150772,3462,43
18421,3462,43
18410,4780,43
150767,205329,43
45250,131310,43
17710,17709,43
131584,4780,43
24162,7536,43
9915,20473,43
136462,19551,43
131620,9002,43
131659,20473,43
131652,131659,43
131588,17709,43
131676,58807,43
63906,20473,43
150766,134823,43
7537,2914,43
131636,3491,43
18420,18185,42
150767,17408,42
131595,9924,42
38839,18250,42
150756,131149,42
18413,18046,42
63902,138195,42
55789,131659,42
45599,45559,42
131629,133747,42
131642,18178,42
23675,4780,42
18424,4780,42
24169,18046,42
131636,17709,42
131607,24482,41
131607,55720,41
63910,53667,41
131681,4780,41
3462,20485,40
9917,17408,40
131659,59796,40
9678,199524,40
215934,205329,40
216123,205329,40
131634,2914,39
140079,4780,39
45250,55888,39
45250,9299,39
150771,17408,39
133375,10241,39
149423,152615,39
131631,142046,39
203405,18041,39
205329,209735,39
205417,34927,39
205013,34872,39
211749,215934,39
207344,395596,39
201943,204844,39
131627,10133,38
131657,174,38
131657,6939,38
212154,34872,38
207469,18041,38
213428,131630,38
212969,204844,38
9416,8966,37
131642,150768,37
24168,17408,37
150771,6939,37
150767,6939,37
201943,44324,37
205329,7720,37
215191,44324,37
3462,33891,36
18415,134823,36
45250,4635,36
212358,23961,36
131630,20473,36
9216,6939,36
199203,6939,36
215934,204844,36
216123,204844,36
205329,27523,36
38845,9002,35
134823,24482,35
203843,32595,35
131633,20473,35
216198,20473,35
198954,204844,35
215191,20473,35
205417,31898,35
215451,20473,35
1659,9264,34
4783,4780,34
9505,48185,34
9505,20485,34
134823,38855,34
18183,9505,34
18044,17408,34
9678,6939,34
213430,17408,34
214030,20473,34
