asn_destino,asn_upstream,frequencia,pais_upstream
63893,18046,126,TW
131630,32595,124,Desconhecido
131655,3462,123,TW
4781,4780,122,TW
208223,215828,122,Desconhecido
131587,17709,120,TW
204934,20473,120,Desconhecido
131642,131658,119,TW
152616,204844,118,Desconhecido
136462,24482,117,SG
131273,174,117,Desconhecido
38837,4780,117,TW
9922,6939,116,Desconhecido
18181,4780,116,TW
45250,174,116,Desconhecido
141742,6939,115,Desconhecido
131646,54994,114,Desconhecido
210384,34927,114,Desconhecido
9924,58453,113,HK
131587,3462,113,TW
17809,24482,111,SG
17809,38855,111,TW
131662,20473,111,Desconhecido
210932,6939,111,Desconhecido
142005,9318,110,KR
24168,18182,110,TW
214821,38254,110,TW
131149,2914,109,Desconhecido
152626,59105,109,JP
38254,18423,107,TW
9922,24482,106,SG
131657,13335,105,Desconhecido
131636,9924,105,TW
205592,204844,105,Desconhecido
9922,55720,104,MY
10135,3491,104,HK
134823,3462,104,TW
17408,24482,103,SG
152622,134823,103,TW
3462,50300,101,Desconhecido
18046,24482,101,SG
131636,4780,100,TW
17408,15412,99,Desconhecido
142005,3356,99,Desconhecido
131584,9002,97,Desconhecido
3462,50304,96,Desconhecido
18046,38855,96,TW
38843,7532,96,TW
38851,6939,96,Desconhecido
131680,17408,96,TW
140079,13335,96,Desconhecido
131609,13335,96,Desconhecido
131619,17408,96,TW
131606,17408,96,TW
133089,13335,96,Desconhecido
9216,9924,96,TW
17651,17408,96,TW
9678,58453,95,HK
3462,1836,94,Desconhecido
3462,34019,94,Desconhecido
3462,12779,94,Desconhecido
134094,32097,94,Desconhecido
17408,38001,93,SG
17408,38855,93,TW
17408,55720,93,MY
9671,9924,93,TW
131659,13335,93,Desconhecido
7539,9924,92,TW
45250,24482,92,SG
150770,17408,92,TW
131646,137983,91,HK
131584,10133,90,TW
131655,18046,90,TW
131621,3462,90,TW
7483,21859,90,Desconhecido
150755,6939,90,Desconhecido
131659,6939,89,Desconhecido
18045,9924,89,TW
152624,9678,88,TW
45250,8966,88,Desconhecido
63895,53587,88,Desconhecido
131642,23961,88,US
38797,24155,88,TW
208223,59105,88,JP
207468,18041,87,TW
18422,9924,86,TW
17502,134823,86,TW
131617,138415,86,HK
131619,32787,86,Desconhecido
131671,17709,86,TW
63894,4780,86,TW
150772,198949,86,Desconhecido
17408,12389,85,Desconhecido
18047,9505,84,TW
131599,4780,84,TW
131605,17408,84,TW
7483,17676,84,JP
24162,4229,84,Desconhecido
131599,9924,84,TW
204677,983,84,Desconhecido
45599,45474,84,SG
7483,59796,84,Desconhecido
18424,4637,84,HK
7483,2914,84,Desconhecido
9678,35916,83,Desconhecido
150766,199524,83,Desconhecido
152619,32595,83,Desconhecido
9919,19551,82,Desconhecido
135596,21859,82,Desconhecido
3462,13030,82,Desconhecido
63902,152194,81,HK
152613,134823,81,TW
131586,4780,80,TW
17809,9416,80,TW
131667,20473,80,Desconhecido
131618,3491,80,HK
56913,398465,80,Desconhecido
208223,27523,80,Desconhecido
139903,9002,79,Desconhecido
216432,204844,79,Desconhecido
131588,4780,79,TW
63900,6939,79,Desconhecido
18423,137409,78,AU
206434,48231,78,Desconhecido
215191,214821,78,Desconhecido
215993,142046,78,TW
63910,20473,77,Desconhecido
45342,3491,77,HK
131660,9505,77,TW
38851,10133,76,TW
63908,138997,76,HK
150755,134823,75,TW
152615,6939,74,Desconhecido
198954,6939,74,Desconhecido
212154,11967,74,Desconhecido
134823,59796,73,Desconhecido
152619,6939,73,Desconhecido
38856,134823,72,TW
149791,18041,72,TW
150766,6939,72,Desconhecido
205013,16509,72,Desconhecido
7539,6939,71,Desconhecido
63897,4780,71,TW
18411,55355,70,HK
131663,2914,70,Desconhecido
63896,140096,70,HK
203405,20473,70,Desconhecido
141742,21859,69,Desconhecido
131638,63900,69,TW
142046,6939,69,Desconhecido
216198,6939,68,Desconhecido
212279,20473,68,Desconhecido
4845,17408,67,TW
18182,24482,65,SG
131645,24482,65,SG
131593,4780,64,TW
9264,1299,63,Desconhecido
56179,3462,62,TW
131273,4780,62,TW
131683,4780,62,TW
7536,17676,60,JP
18044,6939,60,Desconhecido
131149,4780,58,TW
18411,4637,58,HK
216123,6939,58,Desconhecido
131630,204844,56,Desconhecido
142046,32595,56,Desconhecido
208223,14447,56,Desconhecido
45250,6939,55,Desconhecido
7483,1299,55,Desconhecido
9416,24482,54,SG
205329,134823,54,TW
152626,18041,54,TW
18419,24482,53,SG
18041,174,52,Desconhecido
134094,6939,52,Desconhecido
3462,213241,52,Desconhecido
17709,6939,51,Desconhecido
3462,9002,51,Desconhecido
9264,6939,51,Desconhecido
9264,9505,51,TW
9416,55720,50,MY
131144,2687,50,Desconhecido
152626,6939,50,Desconhecido
150766,32595,50,Desconhecido
3462,3216,49,Desconhecido
18424,2914,49,Desconhecido
17716,9505,48,TW
18043,6939,48,Desconhecido
150770,6939,48,Desconhecido
131599,17408,48,TW
132157,17408,48,TW
152628,13335,48,Desconhecido
3462,6453,47,Desconhecido
131659,21859,47,Desconhecido
131589,2914,47,Desconhecido
18044,134823,47,TW
17420,9924,46,TW
131634,137409,46,AU
131634,24482,46,SG
131634,55720,46,MY
38853,17408,46,TW
150137,17408,46,TW
38841,17408,46,TW
205329,34927,46,Desconhecido
150755,18041,45,TW
9920,17408,45,TW
18046,4780,45,TW
203843,6939,45,Desconhecido
18046,21859,45,Desconhecido
18426,7539,44,TW
131637,38843,44,TW
152615,204844,44,Desconhecido
152623,17408,44,TW
46850,399870,44,Desconhecido
17415,6939,44,Desconhecido
17709,12389,43,Desconhecido
9505,38001,43,SG
9505,17639,43,PH
9505,24482,43,SG
18185,4780,43,TW
63901,20473,43,Desconhecido
63899,18046,43,TW
150769,20473,43,Desconhecido
150772,3462,43,TW
18421,3462,43,TW
18410,4780,43,TW
150767,205329,43,Desconhecido
45250,131310,43,MY
17710,17709,43,TW
131584,4780,43,TW
24162,7536,43,TW
9915,20473,43,Desconhecido
136462,19551,43,Desconhecido
131620,9002,43,Desconhecido
131659,20473,43,Desconhecido
131652,131659,43,TW
131588,17709,43,TW
131676,58807,43,HK
63906,20473,43,Desconhecido
150766,134823,43,TW
7537,2914,43,Desconhecido
131636,3491,43,HK
18420,18185,42,TW
150767,17408,42,TW
131595,9924,42,TW
38839,18250,42,AU
150756,131149,42,TW
18413,18046,42,TW
63902,138195,42,KR
55789,131659,42,TW
45599,45559,42,PH
131629,133747,42,HK
131642,18178,42,TW
23675,4780,42,TW
18424,4780,42,TW
24169,18046,42,TW
131636,17709,42,TW
131607,24482,41,SG
131607,55720,41,MY
63910,53667,41,Desconhecido
131681,4780,41,TW
3462,20485,40,Desconhecido
9917,17408,40,TW
131659,59796,40,Desconhecido
9678,199524,40,Desconhecido
215934,205329,40,Desconhecido
216123,205329,40,Desconhecido
131634,2914,39,Desconhecido
140079,4780,39,TW
45250,55888,39,JP
45250,9299,39,PH
150771,17408,39,TW
133375,10241,39,Desconhecido
149423,152615,39,TW
131631,142046,39,TW
203405,18041,39,TW
205329,209735,39,Desconhecido
205417,34927,39,Desconhecido
205013,34872,39,Desconhecido
211749,215934,39,Desconhecido
207344,395596,39,Desconhecido
201943,204844,39,Desconhecido
131627,10133,38,TW
131657,174,38,Desconhecido
131657,6939,38,Desconhecido
212154,34872,38,Desconhecido
207469,18041,38,TW
213428,131630,38,TW
212969,204844,38,Desconhecido
9416,8966,37,Desconhecido
131642,150768,37,TW
24168,17408,37,TW
150771,6939,37,Desconhecido
150767,6939,37,Desconhecido
201943,44324,37,Desconhecido
205329,7720,37,US
215191,44324,37,Desconhecido
3462,33891,36,Desconhecido
18415,134823,36,TW
45250,4635,36,HK
212358,23961,36,US
131630,20473,36,Desconhecido
9216,6939,36,Desconhecido
199203,6939,36,Desconhecido
215934,204844,36,Desconhecido
216123,204844,36,Desconhecido
205329,27523,36,Desconhecido
38845,9002,35,Desconhecido
134823,24482,35,SG
203843,32595,35,Desconhecido
131633,20473,35,Desconhecido
216198,20473,35,Desconhecido
198954,204844,35,Desconhecido
215191,20473,35,Desconhecido
205417,31898,35,Desconhecido
215451,20473,35,Desconhecido
1659,9264,34,TW
4783,4780,34,TW
9505,48185,34,Desconhecido
9505,20485,34,Desconhecido
134823,38855,34,TW
18183,9505,34,TW
18044,17408,34,TW
9678,6939,34,Desconhecido
213430,17408,34,TW
214030,20473,34,Desconhecido
212331,20473,34,Desconhecido
210932,20473,34,Desconhecido
9924,3356,33,Desconhecido
131584,24482,33,SG
131584,55720,33,MY
18424,45474,33,SG
18040,150766,33,TW
131667,6939,33,Desconhecido
38839,38008,33,HK
131657,17408,32,TW
202820,6939,32,Desconhecido
131607,137409,31,AU
131144,2914,31,Desconhecido
208223,18041,31,TW
207389,32595,31,Desconhecido
9416,9002,30,Desconhecido
38851,24482,30,SG
131589,17709,30,TW
18041,24482,30,SG
152614,212895,30,Desconhecido
152626,18423,30,TW
18183,9681,29,TW
9505,4637,29,HK
38841,137409,29,AU
142005,6453,29,Desconhecido
131642,55720,29,MY
18041,38855,29,TW
202178,134823,29,TW
18040,6939,29,Desconhecido
18419,9002,28,Desconhecido
10135,41095,28,Desconhecido
7483,2497,28,JP
212358,6939,28,Desconhecido
18046,55720,27,MY
18180,134196,27,HK
18419,55720,26,MY
17415,20473,26,Desconhecido
131683,3462,26,TW
7536,4229,26,Desconhecido
7656,55720,25,MY
208223,38855,25,TW
24172,18046,25,TW
63909,17408,25,TW
9416,137409,24,AU
131584,137409,24,AU
18179,4637,24,HK
142046,205329,24,Desconhecido
17709,24482,23,SG
9244,24482,23,SG
131642,38855,23,TW
208223,24482,23,SG
203843,7720,23,US
38851,55720,21,MY
131642,24482,21,SG
208223,204921,21,Desconhecido
150766,174,21,Desconhecido
63900,9678,21,TW
63909,9002,21,Desconhecido
131627,24482,20,SG
131627,55720,20,MY
134823,55720,20,MY
7483,174,20,Desconhecido
7532,3491,19,HK
131627,137409,19,AU
18181,7539,19,TW
18179,17709,19,TW
18428,24482,19,SG
18428,38855,19,TW
7536,3491,19,HK
38841,9681,18,TW
131618,150288,18,SG
152614,20473,18,Desconhecido
24172,58453,18,HK
9678,24482,17,SG
7656,137409,16,AU
7656,24482,16,SG
18046,8966,16,Desconhecido
134823,43298,16,Desconhecido
131646,45250,16,US
205329,41051,16,Desconhecido
18422,24482,15,SG
134823,9002,15,Desconhecido
18180,136826,15,ID
9678,137409,15,AU
9678,55720,15,MY
9678,20860,15,Desconhecido
131642,137409,15,AU
24162,21859,15,Desconhecido
9505,2914,15,Desconhecido
9680,1299,14,Desconhecido
134823,9681,14,TW
18424,6939,14,Desconhecido
134823,58453,14,HK
203843,17433,14,HK
7539,7575,13,AU
131593,3462,13,TW
131657,38855,13,TW
131639,134823,13,TW
204934,6939,12,Desconhecido
38851,137409,12,AU
131645,55720,12,MY
142046,174,12,Desconhecido
38837,9924,12,TW
205592,44324,12,Desconhecido
150766,34927,12,Desconhecido
208223,209533,12,Desconhecido
38841,10133,11,TW
63897,137409,11,AU
63897,24482,11,SG
131679,134823,11,TW
131273,142061,11,TW
9831,17408,11,TW
9924,33891,10,Desconhecido
4780,8359,10,Desconhecido
9680,3356,10,Desconhecido
131149,24482,10,SG
131630,24482,10,SG
131630,38855,10,TW
131642,8966,10,Desconhecido
131642,4635,10,HK
131642,8359,10,Desconhecido
131273,3462,10,TW
63897,10133,10,TW
18041,55720,10,MY
63900,134823,10,TW
152626,134823,10,TW
3462,212024,9,Desconhecido
131593,2914,9,Desconhecido
205329,24482,9,SG
131642,18041,9,TW
9678,4837,9,CN
18424,18182,9,TW
18041,15412,9,Desconhecido
45342,21859,9,Desconhecido
152619,134823,9,TW
9505,9002,9,Desconhecido
9505,213241,9,Desconhecido
9264,33891,8,Desconhecido
9680,174,8,Desconhecido
131149,38855,8,TW
131149,55720,8,MY
131657,134823,8,TW
9915,6939,8,Desconhecido
131643,10133,8,TW
17415,134823,8,TW
38852,6939,8,Desconhecido
24162,3491,8,HK
17718,6939,8,Desconhecido
215256,18423,8,TW
7539,24482,7,SG
18422,55720,7,MY
10135,24482,7,SG
10135,55720,7,MY
7539,9264,7,TW
205329,38855,7,TW
38856,6939,7,Desconhecido
131666,6939,7,Desconhecido
63897,55720,7,MY
7483,10099,7,HK
142005,6939,7,Desconhecido
4780,58453,7,HK
3462,12859,6,Desconhecido
7539,55720,6,MY
9924,4635,6,HK
18422,7539,6,TW
131644,24482,6,SG
152626,38855,6,TW
45250,140715,6,PH
150771,134823,6,TW
63896,18423,6,TW
215256,24482,6,SG
215256,38855,6,TW
213617,20473,6,Desconhecido
9264,38001,5,SG
9264,23855,5,SG
9264,1103,5,Desconhecido
9264,17639,5,PH
9264,24482,5,SG
9416,10133,5,TW
9924,17639,5,PH
18411,131584,5,TW
10135,4637,5,HK
9680,6939,5,Desconhecido
18423,6939,5,Desconhecido
9917,131149,5,TW
150766,38855,5,TW
9924,7481,5,TW
17408,10133,5,TW
131638,17408,5,TW
131638,10133,5,TW
212425,58057,5,Desconhecido
207705,24482,5,SG
207705,38855,5,TW
216198,207841,5,Desconhecido
213617,53356,5,Desconhecido
18047,7539,4,TW
9416,12389,4,Desconhecido
204934,24482,4,SG
141742,24482,4,SG
131659,9505,4,TW
17709,9002,4,Desconhecido
140079,9924,4,TW
142005,7018,4,Desconhecido
18423,3491,4,HK
131630,55720,4,MY
150766,24482,4,SG
136462,3491,4,HK
55789,24482,4,SG
45250,63897,4,TW
7483,150288,4,SG
131273,137409,4,AU
131273,24482,4,SG
131273,55720,4,MY
131643,137409,4,AU
131643,24482,4,SG
131643,55720,4,MY
38254,138997,4,HK
63900,131638,4,TW
18044,24482,4,SG
18044,38855,4,TW
142046,38855,4,TW
152619,24482,4,SG
152619,38855,4,TW
152626,24482,4,SG
55789,9924,4,TW
17408,34549,4,Desconhecido
150755,24482,4,SG
150755,38855,4,TW
3462,29632,4,Desconhecido
213430,134823,4,TW
202820,20473,4,Desconhecido
208223,393577,4,Desconhecido
203405,47498,4,Desconhecido
214821,58057,4,Desconhecido
7539,11537,3,Desconhecido
17716,7539,3,TW
17713,9264,3,TW
17716,9264,3,TW
150768,24482,3,SG
150768,55720,3,MY
131666,24482,3,SG
131666,55720,3,MY
131630,134823,3,TW
152615,24482,3,SG
152615,38855,3,TW
18424,24482,3,SG
18424,55720,3,MY
131657,24482,3,SG
18423,18041,3,TW
3462,9505,3,TW
63900,24482,3,SG
63900,38855,3,TW
9505,55720,3,MY
142005,3462,3,TW
3462,3333,3,Desconhecido
