asn_destino,asn_upstream,frequencia,pais_upstream
9505,17639,43,PH
9505,24482,43,SG
63901,20473,43,US
150769,20473,43,US
150767,205329,43,Desconhecido
45250,131310,43,MY
9915,20473,43,US
136462,19551,43,Desconhecido
131620,9002,43,GB
131659,20473,43,US
131676,58807,43,HK
63906,20473,43,US
7537,2914,43,JP
131636,3491,43,HK
38839,18250,42,AU
63902,138195,42,KR
45599,45559,42,PH
131629,133747,42,HK
131607,24482,41,SG
131607,55720,41,MY
63910,53667,41,Desconhecido
3462,20485,40,Desconhecido
131659,59796,40,Desconhecido
9678,199524,40,Desconhecido
215934,205329,40,Desconhecido
216123,205329,40,Desconhecido
131634,2914,39,JP
45250,55888,39,JP
45250,9299,39,PH
133375,10241,39,Desconhecido
205329,209735,39,Desconhecido
205417,34927,39,Desconhecido
205013,34872,39,Desconhecido
211749,215934,39,Desconhecido
207344,395596,39,Desconhecido
201943,204844,39,GB
131657,174,38,US
131657,6939,38,US
212154,34872,38,Desconhecido
212969,204844,38,GB
9416,8966,37,Desconhecido
150771,6939,37,US
150767,6939,37,US
201943,44324,37,Desconhecido
205329,7720,37,US
215191,44324,37,Desconhecido
3462,33891,36,Desconhecido
45250,4635,36,HK
212358,23961,36,US
131630,20473,36,US
9216,6939,36,US
199203,6939,36,US
215934,204844,36,GB
216123,204844,36,GB
205329,27523,36,Desconhecido
38845,9002,35,GB
134823,24482,35,SG
203843,32595,35,Desconhecido
131633,20473,35,US
216198,20473,35,US
198954,204844,35,GB
215191,20473,35,US
205417,31898,35,Desconhecido
215451,20473,35,US
9505,48185,34,Desconhecido
9505,20485,34,Desconhecido
9678,6939,34,US
214030,20473,34,US
212331,20473,34,US
210932,20473,34,US
9924,3356,33,US
131584,24482,33,SG
131584,55720,33,MY
18424,45474,33,SG
131667,6939,33,US
38839,38008,33,HK
202820,6939,32,US
131607,137409,31,AU
131144,2914,31,JP
207389,32595,31,Desconhecido
9416,9002,30,GB
38851,24482,30,SG
18041,24482,30,SG
152614,212895,30,Desconhecido
9505,4637,29,HK
38841,137409,29,AU
142005,6453,29,US
131642,55720,29,MY
18040,6939,29,US
18419,9002,28,GB
10135,41095,28,Desconhecido
7483,2497,28,JP
212358,6939,28,US
18046,55720,27,MY
18180,134196,27,HK
18419,55720,26,MY
17415,20473,26,US
7536,4229,26,Desconhecido
7656,55720,25,MY
9416,137409,24,AU
131584,137409,24,AU
18179,4637,24,HK
142046,205329,24,Desconhecido
17709,24482,23,SG
9244,24482,23,SG
208223,24482,23,SG
203843,7720,23,US
38851,55720,21,MY
131642,24482,21,SG
208223,204921,21,Desconhecido
150766,174,21,US
63909,9002,21,GB
131627,24482,20,SG
131627,55720,20,MY
134823,55720,20,MY
7483,174,20,US
7532,3491,19,HK
131627,137409,19,AU
18428,24482,19,SG
7536,3491,19,HK
131618,150288,18,SG
152614,20473,18,US
24172,58453,18,HK
9678,24482,17,SG
7656,137409,16,AU
7656,24482,16,SG
18046,8966,16,Desconhecido
134823,43298,16,Desconhecido
131646,45250,16,US
205329,41051,16,Desconhecido
18422,24482,15,SG
134823,9002,15,GB
18180,136826,15,ID
9678,137409,15,AU
9678,55720,15,MY
9678,20860,15,Desconhecido
131642,137409,15,AU
24162,21859,15,US
9505,2914,15,JP
9680,1299,14,SE
18424,6939,14,US
134823,58453,14,HK
203843,17433,14,HK
7539,7575,13,AU
204934,6939,12,US
38851,137409,12,AU
131645,55720,12,MY
142046,174,12,US
205592,44324,12,Desconhecido
150766,34927,12,Desconhecido
208223,209533,12,Desconhecido
63897,137409,11,AU
63897,24482,11,SG
9924,33891,10,Desconhecido
4780,8359,10,Desconhecido
9680,3356,10,US
131149,24482,10,SG
131630,24482,10,SG
131642,8966,10,Desconhecido
131642,4635,10,HK
131642,8359,10,Desconhecido
18041,55720,10,MY
3462,212024,9,Desconhecido
131593,2914,9,JP
205329,24482,9,SG
9678,4837,9,CN
18041,15412,9,Desconhecido
45342,21859,9,US
9505,9002,9,GB
